"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 06:40:30 GMT 2023","Mon Apr 24 06:40:31 GMT 2023","552","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","getAllUsers","getAllUsers","Testing 'getAllUsers' endpoint"
"passed","Mon Apr 24 06:40:20 GMT 2023","Mon Apr 24 06:40:21 GMT 2023","555","User Suite","User","user.UserIT","user.UserIT","updateUserByEmail","updateUserByEmail","Testing 'updateUserByEmail' endpoint, using default values"
"passed","Mon Apr 24 06:40:28 GMT 2023","Mon Apr 24 06:40:29 GMT 2023","952","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","addProductsToUserFavorites","addProductsToUserFavorites","Testing 'addProductsToUserFavorites' endpoint, using default values"
"passed","Mon Apr 24 06:40:09 GMT 2023","Mon Apr 24 06:40:13 GMT 2023","3334","User Suite","User","user.UserIT","user.UserIT","addUser","addUser","Testing 'addUser' endpoint, using default values"
"passed","Mon Apr 24 06:40:21 GMT 2023","Mon Apr 24 06:40:26 GMT 2023","5841","User Suite","User","user.UserIT","user.UserIT","deleteUserByEmail","deleteUserByEmail","Testing 'deleteUserByEmail' endpoint"
"passed","Mon Apr 24 06:40:28 GMT 2023","Mon Apr 24 06:40:28 GMT 2023","832","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","addProductToUserFavorites","addProductToUserFavorites","Testing 'addProductToUserFavorites' endpoint, using default value"
"passed","Mon Apr 24 06:40:29 GMT 2023","Mon Apr 24 06:40:30 GMT 2023","686","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","removeProductFromUserFavorites","removeProductFromUserFavorites","Testing 'removeProductFromUserFavorites' endpoint, using default value"
"passed","Mon Apr 24 06:40:13 GMT 2023","Mon Apr 24 06:40:20 GMT 2023","6827","User Suite","User","user.UserIT","user.UserIT","getAllUsers","getAllUsers","Testing 'getAllUsers' endpoint"
"passed","Mon Apr 24 06:40:20 GMT 2023","Mon Apr 24 06:40:20 GMT 2023","470","User Suite","User","user.UserIT","user.UserIT","getUserByEmail","getUserByEmail","Testing 'getUserByEmail' endpoint, using default value"
