"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"REST API testing for User endpoints","Add user","","0","0","1","0","0"
"REST API testing for User endpoints","Delete user by email","","0","0","1","0","0"
"REST API testing for User Favorite endpoints","Add products to user favorites","","0","0","1","0","0"
"REST API testing for User endpoints","Get all users","","0","0","1","0","0"
"REST API testing for User endpoints","Update user by email","","0","0","1","0","0"
"REST API testing for User Favorite endpoints","Add product to user favorites","","0","0","1","0","0"
"REST API testing for User endpoints","Get user by email","","0","0","1","0","0"
"REST API testing for User Favorite endpoints","Remove product from user favorites","","0","0","1","0","0"
"REST API testing for User Favorite endpoints","getAllUsers","","0","0","1","0","0"
