"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 06:59:02 GMT 2023","Mon Apr 24 06:59:03 GMT 2023","1061","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","addProductsToUserFavorites","addProductsToUserFavorites","Testing 'addProductsToUserFavorites' endpoint, using default values"
"passed","Mon Apr 24 06:58:57 GMT 2023","Mon Apr 24 06:58:58 GMT 2023","624","User Suite","User","user.UserIT","user.UserIT","getUserByEmail","getUserByEmail","Testing 'getUserByEmail' endpoint, using default value"
"passed","Mon Apr 24 06:59:03 GMT 2023","Mon Apr 24 06:59:03 GMT 2023","838","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","removeProductFromUserFavorites","removeProductFromUserFavorites","Testing 'removeProductFromUserFavorites' endpoint, using default value"
"passed","Mon Apr 24 06:58:58 GMT 2023","Mon Apr 24 06:58:59 GMT 2023","685","User Suite","User","user.UserIT","user.UserIT","deleteUserByEmail","deleteUserByEmail","Testing 'deleteUserByEmail' endpoint"
"passed","Mon Apr 24 06:58:47 GMT 2023","Mon Apr 24 06:58:50 GMT 2023","3656","User Suite","User","user.UserIT","user.UserIT","addUser","addUser","Testing 'addUser' endpoint, using default values"
"passed","Mon Apr 24 06:59:01 GMT 2023","Mon Apr 24 06:59:02 GMT 2023","966","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","addProductToUserFavorites","addProductToUserFavorites","Testing 'addProductToUserFavorites' endpoint, using default value"
"passed","Mon Apr 24 06:58:58 GMT 2023","Mon Apr 24 06:58:58 GMT 2023","735","User Suite","User","user.UserIT","user.UserIT","updateUserByEmail","updateUserByEmail","Testing 'updateUserByEmail' endpoint, using default values"
"passed","Mon Apr 24 06:58:50 GMT 2023","Mon Apr 24 06:58:57 GMT 2023","6702","User Suite","User","user.UserIT","user.UserIT","getAllUsers","getAllUsers","Testing 'getAllUsers' endpoint"
"passed","Mon Apr 24 06:59:03 GMT 2023","Mon Apr 24 06:59:04 GMT 2023","738","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","getAllUsers","getAllUsers","Testing 'getAllUsers' endpoint"
