"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 07:03:18 GMT 2023","Mon Apr 24 07:03:19 GMT 2023","704","User Suite","User","user.UserIT","user.UserIT","getUserByEmail","getUserByEmail","Testing 'getUserByEmail' endpoint, using default value"
"passed","Mon Apr 24 07:03:23 GMT 2023","Mon Apr 24 07:03:24 GMT 2023","1339","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","addProductToUserFavorites","addProductToUserFavorites","Testing 'addProductToUserFavorites' endpoint, using default value"
"passed","Mon Apr 24 07:03:20 GMT 2023","Mon Apr 24 07:03:21 GMT 2023","785","User Suite","User","user.UserIT","user.UserIT","deleteUserByEmail","deleteUserByEmail","Testing 'deleteUserByEmail' endpoint"
"passed","Mon Apr 24 07:03:26 GMT 2023","Mon Apr 24 07:03:27 GMT 2023","840","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","getAllUsers","getAllUsers","Testing 'getAllUsers' endpoint"
"passed","Mon Apr 24 07:03:11 GMT 2023","Mon Apr 24 07:03:18 GMT 2023","7573","User Suite","User","user.UserIT","user.UserIT","getAllUsers","getAllUsers","Testing 'getAllUsers' endpoint"
"passed","Mon Apr 24 07:03:25 GMT 2023","Mon Apr 24 07:03:26 GMT 2023","946","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","removeProductFromUserFavorites","removeProductFromUserFavorites","Testing 'removeProductFromUserFavorites' endpoint, using default value"
"passed","Mon Apr 24 07:03:19 GMT 2023","Mon Apr 24 07:03:20 GMT 2023","836","User Suite","User","user.UserIT","user.UserIT","updateUserByEmail","updateUserByEmail","Testing 'updateUserByEmail' endpoint, using default values"
"passed","Mon Apr 24 07:03:24 GMT 2023","Mon Apr 24 07:03:25 GMT 2023","1212","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","addProductsToUserFavorites","addProductsToUserFavorites","Testing 'addProductsToUserFavorites' endpoint, using default values"
"passed","Mon Apr 24 07:03:07 GMT 2023","Mon Apr 24 07:03:11 GMT 2023","4058","User Suite","User","user.UserIT","user.UserIT","addUser","addUser","Testing 'addUser' endpoint, using default values"
